,增长,通胀,利率,信用,海外,美元
2018-10-21,2.0,3.0,3.0,1.0,4.0,3.0
2018-10-28,2.0,3.0,3.0,1.0,4.0,3.0
2018-11-04,2.0,3.0,3.0,1.0,4.0,3.0
2018-11-11,2.0,3.0,3.0,1.0,4.0,3.0
2018-11-18,2.0,3.0,4.0,1.0,4.0,3.0
2018-11-25,1.0,3.0,4.0,1.0,4.0,3.0
2018-12-02,1.0,2.0,4.0,1.0,4.0,3.0
2018-12-09,1.0,2.0,4.0,1.0,4.0,3.0
2018-12-16,1.0,2.0,4.0,1.0,4.0,4.0
2018-12-23,1.0,2.0,4.0,1.0,4.0,4.0
2018-12-30,1.0,1.0,4.0,1.0,4.0,4.0
2019-01-06,1.0,1.0,4.0,1.0,4.0,4.0
2019-01-13,1.0,1.0,4.0,1.0,4.0,4.0
2019-01-20,1.0,1.0,4.0,1.0,4.0,4.0
2019-01-27,1.0,1.0,4.0,1.0,4.0,4.0
2019-02-03,1.0,1.0,4.0,1.0,4.0,4.0
2019-02-10,1.0,1.0,4.0,1.0,4.0,4.0
2019-02-17,1.0,1.0,4.0,1.0,4.0,4.0
2019-02-24,1.0,1.0,4.0,1.0,4.0,4.0
2019-03-03,1.0,1.0,4.0,1.0,4.0,4.0
2019-03-10,1.0,1.0,4.0,1.0,4.0,4.0
2019-03-17,1.0,1.0,4.0,1.0,4.0,4.0
2019-03-24,1.0,1.0,4.0,1.0,4.0,4.0
2019-03-31,1.0,2.0,4.0,1.0,3.0,4.0
2019-04-07,2.0,2.0,4.0,1.0,3.0,4.0
2019-04-14,2.0,2.0,4.0,1.0,3.0,4.0
2019-04-21,2.0,2.0,4.0,2.0,3.0,4.0
2019-04-28,2.0,3.0,4.0,2.0,3.0,4.0
2019-05-05,2.0,3.0,4.0,2.0,3.0,4.0
2019-05-12,2.0,3.0,4.0,2.0,3.0,4.0
2019-05-19,2.0,3.0,3.0,3.0,2.0,4.0
2019-05-26,2.0,3.0,3.0,3.0,2.0,4.0
2019-06-02,2.0,3.0,3.0,3.0,2.0,4.0
2019-06-09,1.0,3.0,3.0,3.0,2.0,4.0
2019-06-16,1.0,3.0,3.0,3.0,2.0,4.0
2019-06-23,1.0,3.0,3.0,3.0,2.0,4.0
2019-06-30,1.0,3.0,3.0,3.0,2.0,4.0
2019-07-07,1.0,3.0,3.0,3.0,2.0,3.0
